domain_name,label,Dimension 1,Dimension 2
nhyvgpwvnilpgaukfy.tw,0,-20.93169,24.155865
eujnbyplaywobb.com,0,-33.32782,-44.987614
nqfibtqtrwnnfpibp.de,0,-17.881746,12.673362
fvroestnessbiophysicalohax.com,0,-11.370825,-3.8500915
xafmoxee.su,0,-23.389204,4.455176
zvgzsikathrinezad.com,0,-23.389204,4.455176
xn--777-9cdpxv4b3g4a.xn--p1ai,0,-17.169083,5.110122
www.fatherokokoinc.com,0,-14.304872,-16.864193
qduvamtwptud.co.uk,0,-14.010449,-1.8484435
brjokckqwr.su,0,-14.372348,8.618526
mpkqoqforolhoxp.biz,0,-22.706242,0.25235564
ueyyluugxbaohnnztg.org,0,-30.75195,-49.46841
ifhupg.com,0,25.597803,12.431029
17anhp41tjua9o7whjze1x70qjp.com,0,-19.45521,12.049556
cgknanarianaqh.com,0,-17.169083,5.110122
qmkcmen.com,0,-28.75278,19.84802
ozfyfnvwnhuslqns.com,0,-14.492502,-16.79572
follownothing.net,0,-7.3545523,-3.6305768
jtunyoqnfpnhhwg.info,0,-4.340018,13.498988
ywrasikathrinezad.com,0,-4.340018,13.498988
fxgdererwyatanb.com,0,-18.079113,-0.5815992
dtvzinalcentricem.com,0,-11.844229,11.921159
pjtdmen.com,0,-14.36857,8.563786
cumgdcflez.com,0,-30.155031,-0.8019916
olcveqfb.com,0,-4.0604424,13.183303
cuiopartbulkyf.com,0,-10.436501,-1.811301
zqolfqtkksr.net,0,-18.430246,-11.82809
h6mrhs1c1na6q17u5ze011tl0e3.org,0,-16.704762,15.457069
octtamentalistfanchonut.com,0,-15.497585,22.04231
swfwinalcentricem.com,0,-8.856355,0.37203708
uarzanerraticallyqozaw.com,0,-16.441477,2.8406954
iylfllaabettingk.com,0,-15.209017,16.954922
oancsikathrinezad.com,0,-15.209017,16.954922
sxqsctvxxespriivx.com,0,-4.340018,13.498988
copyrightseo.com,0,15.690305,19.049496
amscardenslavetusul.com,0,-18.4439,1.8593788
tjbdojgenkwavtkjx.com,0,-13.311086,-5.811127
egrfardenslavetusul.com,0,-14.372348,8.618526
hlrjrsensinaix.com,0,-14.372348,8.618526
yiuysagabardinedazyx.com,0,-16.441477,2.8406954
hoeilitxynagxihoi.eu,0,-12.517463,2.2211502
vbakllaabettingk.com,0,-11.844218,11.921259
ddqgidablyhoosieraw.com,0,-18.970236,16.563393
ldrnrsensinaix.com,0,-20.938063,24.154444
j3b032c13a550501c203e72661dfa0eccf.ws,0,25.597803,12.431029
sijin-edu.com,0,-20.716953,-3.036793
rabblisthx.ms,0,-28.75278,19.84802
hjhqmbxyinislkkt.1eeyaj.top,0,-18.970236,16.563393
dohvlcam.ac,0,-20.93169,24.155865
mkjadokmghlh.com,0,-12.041969,-2.934048
zzvlsuqmewsnmo.info,0,-14.010227,24.570915
dfzimen.com,0,-20.93169,24.155865
fundileo.com,0,-17.230782,26.624609
mouthstep.net,0,-16.44157,2.8407395
1losx1ktp3b9g1bo9e71bgfaqx.biz,0,-15.432291,-7.6100383
jbppanerraticallyqozaw.com,0,-17.872967,12.671881
qqdprsensinaix.com,0,4.406093,19.178013
uhprqpshnhcbl.sx,0,-2.6462417,-2.62596
isbdenhancedysb.com,0,28.46923,12.993791
uiiwestnessbiophysicalohax.com,0,-18.612026,0.69919854
t2ckpg1rpdimeoeot0a7bwfwm.org,0,4.707679,23.834942
tmuylejqxtvkyu.nf,0,-20.527245,6.4810348
isblepictom.com,0,-16.44145,2.8407001
potws.ga,0,-4.340018,13.498988
zvzvllaabettingk.com,0,-30.777185,-47.7401
cyyhxofjakgaemc.ru,0,15.690326,19.049364
dtvlnqlmbpvnva.me,0,-22.7149,7.667623
eqraenhancedysb.com,0,10.400973,18.066519
korqinccj.com,0,-8.616309,-3.7200487
btxtanerraticallyqozaw.com,0,-14.859808,4.0534277
uefokwrisuir.biz,0,28.46923,12.993791
dpgrepictom.com,0,-13.311086,-5.811127
1bvdk2e1rutob4fabmytoi0569.net,0,28.62504,5.877278
ozexttrjmghujkgnujoahncc.biz,0,-12.500332,-4.5734196
nrtprsensinaix.com,0,-17.881746,12.673362
hxtxhprqyiqn.cc,0,-18.970236,16.563393
1ta9tjl5d00011motyu91jlcixs.net,0,-1.2736489,13.122764
xdblanerraticallyqozaw.com,0,-30.777185,-47.7401
klvefce.dynserv.com,0,10.685262,20.8851
fvnnfordlinnetavox.com,0,13.71489,20.602798
vigtjqjutlofbecli.me,0,-18.138672,-9.719761
yencyfkvdrori.xxx,0,-9.980661,-16.094023
iipvsagabardinedazyx.com,0,-9.980661,-16.094023
ehcabdwke.com,0,-17.230782,26.624609
jepyger.info,0,-23.028425,12.697854
jlbjrdch.xxx,0,16.055664,20.657251
cjoyattrrlwct.com,0,-4.2193832,7.5523167
etlixtjfogv.com,0,-29.842783,-39.111263
cmboxeahvhpnkn.ru,0,-29.743526,-38.711174
qw-qs.top,0,-21.446339,6.6685457
sisksikathrinezad.com,0,-4.2193832,7.5523167
tlgniologistbikerepil.com,0,-23.028425,12.697854
glf0g4igk5ut15db0f6a4q4lp.com,0,-30.61431,18.526274
kcngidtox.info,0,-29.76278,-39.319847
buchanancu.org,0,-17.230782,26.624609
sporttrimzlatibor.rs,0,-6.1141925,7.981593
rf624dd6bdabe84e3ef5e64f46252864f8.cn,0,-4.2193832,7.5523167
1t6az54w3qkh7k993q1ie0h2y.net,0,3.7944846,0.07747533
mknvvinskycattederifg.com,0,-5.485813,8.315551
peovvqlnpnrgitnu.org,0,-22.098103,-7.597917
pztcardenslavetusul.com,0,-33.354073,-48.681507
fwygtowtl.org,0,-31.768778,-43.39824
faofirdrbk.com,0,-9.565268,-10.325259
tbhaenhancedysb.com,0,-5.7917256,6.833401
morbiologistbikerepil.com,0,-18.079113,-0.5815992
dfgtvinskycattederifg.com,0,-17.307415,27.12254
ca41476.tmweb.ru,0,-7.800097,-1.2455813
ynxpmejfj.info,0,27.577765,8.619065
mixzrsensinaix.com,0,15.074946,17.23617
qvkmjnsphimg.com,0,-17.306883,27.12237
miwkllaabettingk.com,0,-16.272493,27.70905
cwxbrasildeafeninguvuc.com,0,-5.655062,9.84385
ztjysagabardinedazyx.com,0,-6.050495,8.479972
xzz.goodoboy.com,0,-30.35992,0.6273113
xfmemachuslazaroqok.com,0,24.144306,10.681541
ogjxyto.mx,0,-23.028425,12.697854
he555503aca3db2f4db98021e172288996.ws,0,-28.75278,19.84802
gtqjakhpnqufrrvll.cc,0,-25.504156,5.4428506
jroqbyplaywobb.com,0,-23.028425,12.697854
e5fydq19xcp2y1ajnivtifmhpz.biz,0,-21.446339,6.6685457
eenyrqxqhltynxkjglktxn.org,0,-16.4657,-8.591257
pufchiyklmef.net,0,-6.528167,9.209302
zdcnsemitismgavenuteq.com,0,-17.307415,27.12254
